sort	year	category	amount	thousands	millions	billion
1	2007	Energy & Environment	38016107082	38016107.08	38016.11	38.02
1	2008	Energy & Environment	44719150096	44719150.10	44719.15	44.72
1	2009	Energy & Environment	106750222986	106750222.99	106750.22	106.75
1	2010	Energy & Environment	50026830703	50026830.70	50026.83	50.03
1	2011	Energy & Environment	43527148611	43527148.61	43527.15	43.53
1	2012	Energy & Environment	47058386634	47058386.63	47058.39	47.06
1	2013	Energy & Environment	50478000000	50478000.00	50478.00	50.48
2	1976	Housing & Community	135145009908	135145009.91	135145.01	135.15
2	1977	Housing & Community	165755943749	165755943.75	165755.94	165.76
2	1978	Housing & Community	159822500892	159822500.89	159822.50	159.82
2	1979	Housing & Community	133284856723	133284856.72	133284.86	133.28
2	1980	Housing & Community	139393960532	139393960.53	139393.96	139.39
2	1981	Housing & Community	117856461355	117856461.35	117856.46	117.86
2	1982	Housing & Community	80432908711	80432908.71	80432.91	80.43
2	1983	Housing & Community	68784823797	68784823.80	68784.82	68.78
2	1984	Housing & Community	71105823644	71105823.64	71105.82	71.11
2	1985	Housing & Community	92243058163	92243058.16	92243.06	92.24
2	1986	Housing & Community	53104071280	53104071.28	53104.07	53.10
2	1987	Housing & Community	48628682082	48628682.08	48628.68	48.63
2	1988	Housing & Community	61710078590	61710078.59	61710.08	61.71
2	1989	Housing & Community	54914553458	54914553.46	54914.55	54.91
2	1990	Housing & Community	64085441454	64085441.45	64085.44	64.09
2	1991	Housing & Community	69940939720	69940939.72	69940.94	69.94
2	1992	Housing & Community	70498869555	70498869.55	70498.87	70.50
2	1993	Housing & Community	66193399517	66193399.52	66193.40	66.19
2	1994	Housing & Community	75515894754	75515894.75	75515.89	75.52
2	1995	Housing & Community	60043087179	60043087.18	60043.09	60.04
2	1996	Housing & Community	58346742453	58346742.45	58346.74	58.35
2	1997	Housing & Community	52157629028	52157629.03	52157.63	52.16
2	1998	Housing & Community	53590160976	53590160.98	53590.16	53.59
2	1999	Housing & Community	60953798258	60953798.26	60953.80	60.95
2	2000	Housing & Community	56011526357	56011526.36	56011.53	56.01
2	2001	Housing & Community	73021815287	73021815.29	73021.82	73.02
2	2002	Housing & Community	82972549422	82972549.42	82972.55	82.97
2	2003	Housing & Community	76218140165	76218140.17	76218.14	76.22
2	2004	Housing & Community	78007460816	78007460.82	78007.46	78.01
2	2005	Housing & Community	153868519000	153868519.00	153868.52	153.87
2	2006	Housing & Community	90952441973	90952441.97	90952.44	90.95
2	2007	Housing & Community	72655732670	72655732.67	72655.73	72.66
2	2008	Housing & Community	316203183880	316203183.88	316203.18	316.20
2	2009	Housing & Community	373247520724	373247520.72	373247.52	373.25
2	2010	Housing & Community	74163953013	74163953.01	74163.95	74.16
2	2011	Housing & Community	74487219135	74487219.13	74487.22	74.49
2	2012	Housing & Community	76407994129	76407994.13	76407.99	76.41
2	2013	Housing & Community	59326000000	59326000.00	59326.00	59.33
3	1976	Education	31019125615	31019125.61	31019.13	31.02
3	1977	Education	33551206714	33551206.71	33551.21	33.55
3	1978	Education	34709061314	34709061.31	34709.06	34.71
3	1979	Education	38482893352	38482893.35	38482.89	38.48
3	1980	Education	38363645825	38363645.82	38363.65	38.36
3	1981	Education	38513896135	38513896.13	38513.90	38.51
3	1982	Education	33062028720	33062028.72	33062.03	33.06
3	1983	Education	31492588094	31492588.09	31492.59	31.49
3	1984	Education	30193988310	30193988.31	30193.99	30.19
3	1985	Education	36135743435	36135743.43	36135.74	36.14
3	1986	Education	32878268406	32878268.41	32878.27	32.88
3	1987	Education	35145273929	35145273.93	35145.27	35.15
3	1988	Education	34976227494	34976227.49	34976.23	34.98
3	1989	Education	38241224583	38241224.58	38241.22	38.24
3	1990	Education	39538420165	39538420.16	39538.42	39.54
3	1991	Education	43102645903	43102645.90	43102.65	43.10
3	1992	Education	43632531970	43632531.97	43632.53	43.63
3	1993	Education	46616940316	46616940.32	46616.94	46.62
3	1994	Education	38999845261	38999845.26	38999.85	39.00
3	1995	Education	45921475214	45921475.21	45921.48	45.92
3	1996	Education	40252750359	40252750.36	40252.75	40.25
3	1997	Education	45582358269	45582358.27	45582.36	45.58
3	1998	Education	47679913821	47679913.82	47679.91	47.68
3	1999	Education	44726084365	44726084.36	44726.08	44.73
3	2000	Education	41895166011	41895166.01	41895.17	41.90
3	2001	Education	51221942675	51221942.68	51221.94	51.22
3	2002	Education	70364181484	70364181.48	70364.18	70.36
3	2003	Education	78440566801	78440566.80	78440.57	78.44
3	2004	Education	81379797006	81379797.01	81379.80	81.38
3	2005	Education	87542044800	87542044.80	87542.04	87.54
3	2006	Education	113728413733	113728413.73	113728.41	113.73
3	2007	Education	75195006012	75195006.01	75195.01	75.20
3	2008	Education	70458089048	70458089.05	70458.09	70.46
3	2009	Education	139781354208	139781354.21	139781.35	139.78
3	2010	Education	70620772956	70620772.96	70620.77	70.62
3	2011	Education	51141112381	51141112.38	51141.11	51.14
3	2012	Education	125569679503	125569679.50	125569.68	125.57
3	2013	Education	63947000000	63947000.00	63947.00	63.95
4	1976	Veterans Benefits	66300978702	66300978.70	66300.98	66.30
4	1977	Veterans Benefits	59774963507	59774963.51	59774.96	59.77
4	1978	Veterans Benefits	55910602455	55910602.45	55910.60	55.91
4	1979	Veterans Benefits	55705391406	55705391.41	55705.39	55.71
4	1980	Veterans Benefits	52968316865	52968316.86	52968.32	52.97
4	1981	Veterans Benefits	52671235856	52671235.86	52671.24	52.67
4	1982	Veterans Benefits	53159414086	53159414.09	53159.41	53.16
4	1983	Veterans Benefits	51692580207	51692580.21	51692.58	51.69
4	1984	Veterans Benefits	52090524506	52090524.51	52090.52	52.09
4	1985	Veterans Benefits	51907776601	51907776.60	51907.78	51.91
4	1986	Veterans Benefits	50044430816	50044430.82	50044.43	50.04
4	1987	Veterans Benefits	49273388381	49273388.38	49273.39	49.27
4	1988	Veterans Benefits	51597574508	51597574.51	51597.57	51.60
4	1989	Veterans Benefits	50518693342	50518693.34	50518.69	50.52
4	1990	Veterans Benefits	49764424704	49764424.70	49764.42	49.76
4	1991	Veterans Benefits	52221756667	52221756.67	52221.76	52.22
4	1992	Veterans Benefits	52207346958	52207346.96	52207.35	52.21
4	1993	Veterans Benefits	54235406406	54235406.41	54235.41	54.24
4	1994	Veterans Benefits	54294431282	54294431.28	54294.43	54.29
4	1995	Veterans Benefits	54817386325	54817386.32	54817.39	54.82
4	1996	Veterans Benefits	54630344514	54630344.51	54630.34	54.63
4	1997	Veterans Benefits	55263848977	55263848.98	55263.85	55.26
4	1998	Veterans Benefits	58462491057	58462491.06	58462.49	58.46
4	1999	Veterans Benefits	59517812930	59517812.93	59517.81	59.52
4	2000	Veterans Benefits	60107348544	60107348.54	60107.35	60.11
4	2001	Veterans Benefits	61434006369	61434006.37	61434.01	61.43
4	2002	Veterans Benefits	66189797991	66189797.99	66189.80	66.19
4	2003	Veterans Benefits	73581890959	73581890.96	73581.89	73.58
4	2004	Veterans Benefits	73485077749	73485077.75	73485.08	73.49
4	2005	Veterans Benefits	81477257400	81477257.40	81477.26	81.48
4	2006	Veterans Benefits	80813593230	80813593.23	80813.59	80.81
4	2007	Veterans Benefits	87982061056	87982061.06	87982.06	87.98
4	2008	Veterans Benefits	95453384192	95453384.19	95453.38	95.45
4	2009	Veterans Benefits	103300068054	103300068.05	103300.07	103.30
4	2010	Veterans Benefits	131384832855	131384832.86	131384.83	131.38
4	2011	Veterans Benefits	127476431235	127476431.23	127476.43	127.48
4	2012	Veterans Benefits	126632002936	126632002.94	126632.00	126.63
4	2013	Veterans Benefits	137734000000	137734000.00	137734.00	137.73
5	1976	Food & Agriculture	42134213193	42134213.19	42134.21	42.13
5	1977	Food & Agriculture	39227128038	39227128.04	39227.13	39.23
5	1978	Food & Agriculture	44545632861	44545632.86	44545.63	44.55
5	1979	Food & Agriculture	68525770638	68525770.64	68525.77	68.53
5	1980	Food & Agriculture	59987800217	59987800.22	59987.80	59.99
5	1981	Food & Agriculture	68054914464	68054914.46	68054.91	68.05
5	1982	Food & Agriculture	84882950466	84882950.47	84882.95	84.88
5	1983	Food & Agriculture	108625693972	108625693.97	108625.69	108.63
5	1984	Food & Agriculture	58876099428	58876099.43	58876.10	58.88
5	1985	Food & Agriculture	87717789849	87717789.85	87717.79	87.72
5	1986	Food & Agriculture	90513951740	90513951.74	90513.95	90.51
5	1987	Food & Agriculture	81379639115	81379639.12	81379.64	81.38
5	1988	Food & Agriculture	68431419376	68431419.38	68431.42	68.43
5	1989	Food & Agriculture	71584487158	71584487.16	71584.49	71.58
5	1990	Food & Agriculture	64424195228	64424195.23	64424.20	64.42
5	1991	Food & Agriculture	73171800774	73171800.77	73171.80	73.17
5	1992	Food & Agriculture	85362466740	85362466.74	85362.47	85.36
5	1993	Food & Agriculture	86978227307	86978227.31	86978.23	86.98
5	1994	Food & Agriculture	83528377753	83528377.75	83528.38	83.53
5	1995	Food & Agriculture	70797823932	70797823.93	70797.82	70.80
5	1996	Food & Agriculture	70419746766	70419746.77	70419.75	70.42
5	1997	Food & Agriculture	72465078570	72465078.57	72465.08	72.47
5	1998	Food & Agriculture	68951060163	68951060.16	68951.06	68.95
5	1999	Food & Agriculture	80281566942	80281566.94	80281.57	80.28
5	2000	Food & Agriculture	91911837923	91911837.92	91911.84	91.91
5	2001	Food & Agriculture	82642980892	82642980.89	82642.98	82.64
5	2002	Food & Agriculture	79415038565	79415038.57	79415.04	79.42
5	2003	Food & Agriculture	84741389371	84741389.37	84741.39	84.74
5	2004	Food & Agriculture	98849325142	98849325.14	98849.33	98.85
5	2005	Food & Agriculture	97327416200	97327416.20	97327.42	97.33
5	2006	Food & Agriculture	97782272921	97782272.92	97782.27	97.78
5	2007	Food & Agriculture	89765966936	89765966.94	89765.97	89.77
5	2008	Food & Agriculture	84567865602	84567865.60	84567.87	84.57
5	2009	Food & Agriculture	114753346425	114753346.43	114753.35	114.75
5	2010	Food & Agriculture	121690709110	121690709.11	121690.71	121.69
5	2011	Food & Agriculture	131032858424	131032858.42	131032.86	131.03
5	2012	Food & Agriculture	134247184597	134247184.60	134247.18	134.25
5	2013	Food & Agriculture	140325000000	140325000.00	140325.00	140.33
6	1976	Other	102036956858	102036956.86	102036.96	102.04
6	1977	Other	77947610159	77947610.16	77947.61	77.95
6	1978	Other	97217821010	97217821.01	97217.82	97.22
6	1979	Other	89654269394	89654269.39	89654.27	89.65
6	1980	Other	109479210645	109479210.64	109479.21	109.48
6	1981	Other	107539745830	107539745.83	107539.75	107.54
6	1982	Other	76075229716	76075229.72	76075.23	76.08
6	1983	Other	49659141868	49659141.87	49659.14	49.66
6	1984	Other	89163776205	89163776.21	89163.78	89.16
6	1985	Other	82340516411	82340516.41	82340.52	82.34
6	1986	Other	73134524073	73134524.07	73134.52	73.13
6	1987	Other	70300247079	70300247.08	70300.25	70.30
6	1988	Other	79241582163	79241582.16	79241.58	79.24
6	1989	Other	154222654192	154222654.19	154222.65	154.22
6	1990	Other	159937914838	159937914.84	159937.91	159.94
6	1991	Other	202185303596	202185303.60	202185.30	202.19
6	1992	Other	154256193079	154256193.08	154256.19	154.26
6	1993	Other	126129711062	126129711.06	126129.71	126.13
6	1994	Other	132526170901	132526170.90	132526.17	132.53
6	1995	Other	103158353846	103158353.85	103158.35	103.16
6	1996	Other	94383814087	94383814.09	94383.81	94.38
6	1997	Other	85596232181	85596232.18	85596.23	85.60
6	1998	Other	114229679675	114229679.67	114229.68	114.23
6	1999	Other	162321676066	162321676.07	162321.68	162.32
6	2000	Other	134717480724	134717480.72	134717.48	134.72
6	2001	Other	146432821656	146432821.66	146432.82	146.43
6	2002	Other	163084590472	163084590.47	163084.59	163.08
6	2003	Other	173177266991	173177266.99	173177.27	173.18
6	2004	Other	190775270831	190775270.83	190775.27	190.78
6	2005	Other	155233125600	155233125.60	155233.13	155.23
6	2006	Other	150916717988	150916717.99	150916.72	150.92
6	2007	Other	174664624648	174664624.65	174664.62	174.66
6	2008	Other	162864479207	162864479.21	162864.48	162.86
6	2009	Other	490909737738	490909737.74	490909.74	490.91
6	2010	Other	82230072095	82230072.09	82230.07	82.23
6	2011	Other	102560733908	102560733.91	102560.73	102.56
6	2012	Other	249289188050	249289188.05	249289.19	249.29
6	2013	Other	175192000000	175192000.00	175192.00	175.19
7	1976	Interest on Debt	90122505041	90122505.04	90122.51	90.12
7	1977	Interest on Debt	93806472872	93806472.87	93806.47	93.81
7	1978	Interest on Debt	104216632247	104216632.25	104216.63	104.22
7	1979	Interest on Debt	115945812659	115945812.66	115945.81	115.95
7	1980	Interest on Debt	131305357492	131305357.49	131305.36	131.31
7	1981	Interest on Debt	156456213270	156456213.27	156456.21	156.46
7	1982	Interest on Debt	181074541513	181074541.51	181074.54	181.07
7	1983	Interest on Debt	183195303048	183195303.05	183195.30	183.20
7	1984	Interest on Debt	218528846710	218528846.71	218528.85	218.53
7	1985	Interest on Debt	246680324234	246680324.23	246680.32	246.68
7	1986	Interest on Debt	253299571927	253299571.93	253299.57	253.30
7	1987	Interest on Debt	251379029605	251379029.61	251379.03	251.38
7	1988	Interest on Debt	266758866391	266758866.39	266758.87	266.76
7	1989	Interest on Debt	286106684267	286106684.27	286106.68	286.11
7	1990	Interest on Debt	301589394665	301589394.66	301589.39	301.59
7	1991	Interest on Debt	304985630260	304985630.26	304985.63	304.99
7	1992	Interest on Debt	305465483321	305465483.32	305465.48	305.47
7	1993	Interest on Debt	297908662267	297908662.27	297908.66	297.91
7	1994	Interest on Debt	297928397535	297928397.54	297928.40	297.93
7	1995	Interest on Debt	333737552137	333737552.14	333737.55	333.74
7	1996	Interest on Debt	339982007187	339982007.19	339982.01	339.98
7	1997	Interest on Debt	337884164197	337884164.20	337884.16	337.88
7	1998	Interest on Debt	329729434146	329729434.15	329729.43	329.73
7	1999	Interest on Debt	310082406923	310082406.92	310082.41	310.08
7	2000	Interest on Debt	295046091267	295046091.27	295046.09	295.05
7	2001	Interest on Debt	266568738854	266568738.85	266568.74	266.57
7	2002	Interest on Debt	217427890029	217427890.03	217427.89	217.43
7	2003	Interest on Debt	190894357400	190894357.40	190894.36	190.89
7	2004	Interest on Debt	194726277543	194726277.54	194726.28	194.73
7	2005	Interest on Debt	216610987600	216610987.60	216610.99	216.61
7	2006	Interest on Debt	258029373501	258029373.50	258029.37	258.03
7	2007	Interest on Debt	262264025174	262264025.17	262264.03	262.26
7	2008	Interest on Debt	273169122005	273169122.00	273169.12	273.17
7	2009	Interest on Debt	199150017738	199150017.74	199150.02	199.15
7	2010	Interest on Debt	207135615316	207135615.32	207135.62	207.14
7	2011	Interest on Debt	238618145797	238618145.80	238618.15	238.62
7	2012	Interest on Debt	228004089449	228004089.45	228004.09	228.00
7	2013	Interest on Debt	247715000000	247715000.00	247715.00	247.72
8	1976	Military	340687794186	340687794.19	340687.79	340.69
8	1977	Military	357970612924	357970612.92	357970.61	357.97
8	1978	Military	357992667022	357992667.02	357992.67	357.99
8	1979	Military	359662853015	359662853.02	359662.85	359.66
8	1980	Military	372199775474	372199775.47	372199.78	372.20
8	1981	Military	421063071195	421063071.20	421063.07	421.06
8	1982	Military	475750665768	475750665.77	475750.67	475.75
8	1983	Military	516458960524	516458960.52	516458.96	516.46
8	1984	Military	539134135015	539134135.02	539134.14	539.13
8	1985	Military	587521045375	587521045.37	587521.05	587.52
8	1986	Military	556182748168	556182748.17	556182.75	556.18
8	1987	Military	536171086110	536171086.11	536171.09	536.17
8	1988	Military	528257107825	528257107.83	528257.11	528.26
8	1989	Military	519728505158	519728505.16	519728.51	519.73
8	1990	Military	508497403085	508497403.08	508497.40	508.50
8	1991	Military	468339717521	468339717.52	468339.72	468.34
8	1992	Military	462300951502	462300951.50	462300.95	462.30
8	1993	Military	429592823041	429592823.04	429592.82	429.59
8	1994	Military	393225590030	393225590.03	393225.59	393.23
8	1995	Military	389608704274	389608704.27	389608.70	389.61
8	1996	Military	382526653809	382526653.81	382526.65	382.53
8	1997	Military	381556813456	381556813.46	381556.81	381.56
8	1998	Military	377982321951	377982321.95	377982.32	377.98
8	1999	Military	402325569693	402325569.69	402325.57	402.33
8	2000	Military	412582292683	412582292.68	412582.29	412.58
8	2001	Military	441381477707	441381477.71	441381.48	441.38
8	2002	Military	469248019445	469248019.44	469248.02	469.25
8	2003	Military	580930855177	580930855.18	580930.86	580.93
8	2004	Military	605692975942	605692975.94	605692.98	605.69
8	2005	Military	605502675400	605502675.40	605502.68	605.50
8	2006	Military	643748574081	643748574.08	643748.57	643.75
8	2007	Military	703847640804	703847640.80	703847.64	703.85
8	2008	Military	763956741210	763956741.21	763956.74	763.96
8	2009	Military	755374022624	755374022.62	755374.02	755.37
8	2010	Military	776420973458	776420973.46	776420.97	776.42
8	2011	Military	755688492613	755688492.61	755688.49	755.69
8	2012	Military	701982307892	701982307.89	701982.31	701.98
8	2013	Military	661303000000	661303000.00	661303.00	661.30
9	1976	Medicare & Health	104437703106	104437703.11	104437.70	104.44
9	1977	Medicare & Health	116370808975	116370808.98	116370.81	116.37
9	1978	Medicare & Health	122769481887	122769481.89	122769.48	122.77
9	1979	Medicare & Health	132819545740	132819545.74	132819.55	132.82
9	1980	Medicare & Health	140661568716	140661568.72	140661.57	140.66
9	1981	Medicare & Health	150553036818	150553036.82	150553.04	150.55
9	1982	Medicare & Health	157669045457	157669045.46	157669.05	157.67
9	1983	Medicare & Health	158383325799	158383325.80	158383.33	158.38
9	1984	Medicare & Health	175969880704	175969880.70	175969.88	175.97
9	1985	Medicare & Health	188953471039	188953471.04	188953.47	188.95
9	1986	Medicare & Health	200795352708	200795352.71	200795.35	200.80
9	1987	Medicare & Health	211144360750	211144360.75	211144.36	211.14
9	1988	Medicare & Health	218668887738	218668887.74	218668.89	218.67
9	1989	Medicare & Health	231892409758	231892409.76	231892.41	231.89
9	1990	Medicare & Health	272132137301	272132137.30	272132.14	272.13
9	1991	Medicare & Health	280744031622	280744031.62	280744.03	280.74
9	1992	Medicare & Health	346465696672	346465696.67	346465.70	346.47
9	1993	Medicare & Health	349829961980	349829961.98	349829.96	349.83
9	1994	Medicare & Health	409812327040	409812327.04	409812.33	409.81
9	1995	Medicare & Health	393195533333	393195533.33	393195.53	393.20
9	1996	Medicare & Health	408321417345	408321417.35	408321.42	408.32
9	1997	Medicare & Health	443390393790	443390393.79	443390.39	443.39
9	1998	Medicare & Health	449569882927	449569882.93	449569.88	449.57
9	1999	Medicare & Health	449147598808	449147598.81	449147.60	449.15
9	2000	Medicare & Health	479135763965	479135763.97	479135.76	479.14
9	2001	Medicare & Health	515609656051	515609656.05	515609.66	515.61
9	2002	Medicare & Health	560219562709	560219562.71	560219.56	560.22
9	2003	Medicare & Health	600290771332	600290771.33	600290.77	600.29
9	2004	Medicare & Health	635877451523	635877451.52	635877.45	635.88
9	2005	Medicare & Health	653640674400	653640674.40	653640.67	653.64
9	2006	Medicare & Health	752142249903	752142249.90	752142.25	752.14
9	2007	Medicare & Health	695906881834	695906881.83	695906.88	695.91
9	2008	Medicare & Health	747778164877	747778164.88	747778.16	747.78
9	2009	Medicare & Health	863714001991	863714001.99	863714.00	863.71
9	2010	Medicare & Health	906731027618	906731027.62	906731.03	906.73
9	2011	Medicare & Health	892573149138	892573149.14	892573.15	892.57
9	2012	Medicare & Health	878362561388	878362561.39	878362.56	878.36
9	2013	Medicare & Health	897192000000	897192000.00	897192.00	897.19
10	1976	Social Security & Labor	435604930300	435604930.30	435604.93	435.60
10	1977	Social Security & Labor	475591006276	475591006.28	475591.01	475.59
10	1978	Social Security & Labor	434311655667	434311655.67	434311.66	434.31
10	1979	Social Security & Labor	463006656201	463006656.20	463006.66	463.01
10	1980	Social Security & Labor	496796972068	496796972.07	496796.97	496.80
10	1981	Social Security & Labor	519440831716	519440831.72	519440.83	519.44
10	1982	Social Security & Labor	524202409180	524202409.18	524202.41	524.20
10	1983	Social Security & Labor	557135798979	557135798.98	557135.80	557.14
10	1984	Social Security & Labor	541575265225	541575265.22	541575.27	541.58
10	1985	Social Security & Labor	543564214775	543564214.78	543564.21	543.56
10	1986	Social Security & Labor	545098105347	545098105.35	545098.11	545.10
10	1987	Social Security & Labor	557491959289	557491959.29	557491.96	557.49
10	1988	Social Security & Labor	571725643864	571725643.86	571725.64	571.73
10	1989	Social Security & Labor	580261545442	580261545.44	580261.55	580.26
10	1990	Social Security & Labor	600999233637	600999233.64	600999.23	601.00
10	1991	Social Security & Labor	645478392129	645478392.13	645478.39	645.48
10	1992	Social Security & Labor	686040200604	686040200.60	686040.20	686.04
10	1993	Social Security & Labor	707900437725	707900437.73	707900.44	707.90
10	1994	Social Security & Labor	719080451890	719080451.89	719080.45	719.08
10	1995	Social Security & Labor	724835617094	724835617.09	724835.62	724.84
10	1996	Social Security & Labor	746814044562	746814044.56	746814.04	746.81
10	1997	Social Security & Labor	767013366267	767013366.27	767013.37	767.01
10	1998	Social Security & Labor	780093822764	780093822.76	780093.82	780.09
10	1999	Social Security & Labor	794186261348	794186261.35	794186.26	794.19
10	2000	Social Security & Labor	812046044060	812046044.06	812046.04	812.05
10	2001	Social Security & Labor	856901789809	856901789.81	856901.79	856.90
10	2002	Social Security & Labor	909308423895	909308423.90	909308.42	909.31
10	2003	Social Security & Labor	925975366504	925975366.50	925975.37	925.98
10	2004	Social Security & Labor	925014554053	925014554.05	925014.55	925.01
10	2005	Social Security & Labor	949237541000	949237541.00	949237.54	949.24
10	2006	Social Security & Labor	934207688395	934207688.39	934207.69	934.21
10	2007	Social Security & Labor	966127149352	966127149.35	966127.15	966.13
10	2008	Social Security & Labor	1036126051409	1036126051.41	1036126.05	1036.13
10	2009	Social Security & Labor	1197652345520	1197652345.52	1197652.35	1197.65
10	2010	Social Security & Labor	1258565851148	1258565851.15	1258565.85	1258.57
10	2011	Social Security & Labor	1216940015828	1216940015.83	1216940.02	1216.94
10	2012	Social Security & Labor	1240997085132	1240997085.13	1240997.09	1241.00
10	2013	Social Security & Labor	1233864000000	1233864000.00	1233864.00	1233.86
