sort	year	category	amount	thousands	millions	billions
5	2000	Excise Taxes	91133697876	"91,133,698"	91134	91
5	2001	Excise Taxes	85637554140	"85,637,554"	85638	86
5	2002	Excise Taxes	85203466134	"85,203,466"	85203	85
5	2003	Excise Taxes	84165527842	"84,165,528"	84166	84
5	2004	Excise Taxes	84922330408	"84,922,330"	84922	85
5	2005	Excise Taxes	86060875600	"86,060,876"	86061	86
5	2006	Excise Taxes	84218260542	"84,218,261"	84218	84
5	2007	Excise Taxes	71963404659	"71,963,405"	71963	72
5	2008	Excise Taxes	72779814193	"72,779,814"	72780	73
5	2009	Excise Taxes	66576908778	"66,576,909"	66577	67
5	2010	Excise Taxes	70640832676	"70,640,833"	70641	71
5	2011	Excise Taxes	74939667077	"74,939,667"	74940	75
5	2012	Excise Taxes	80731498014	"80,731,498"	80731	81
5	2013	Excise Taxes	88055000000	"88,055,000"	88055	88
1	1962	Individual Income Taxes	280624484132	"280,624,484"	280624	281
1	1963	Individual Income Taxes	289410186676	"289,410,187"	289410	289
1	1964	Individual Income Taxes	292678813225	"292,678,813"	292679	293
1	1965	Individual Income Taxes	288245432076	"288,245,432"	288245	288
1	1966	Individual Income Taxes	320639797964	"320,639,798"	320640	321
1	1967	Individual Income Taxes	344790219488	"344,790,219"	344790	345
1	1968	Individual Income Taxes	372034110373	"372,034,110"	372034	372
1	1969	Individual Income Taxes	451745437786	"451,745,438"	451745	452
1	1970	Individual Income Taxes	444100283746	"444,100,284"	444100	444
1	1971	Individual Income Taxes	403365966524	"403,365,967"	403366	403
1	1972	Individual Income Taxes	423152092862	"423,152,093"	423152	423
1	1973	Individual Income Taxes	441880321430	"441,880,321"	441880	442
1	1974	Individual Income Taxes	474919126278	"474,919,126"	474919	475
1	1975	Individual Income Taxes	442287455040	"442,287,455"	442287	442
1	1976	Individual Income Taxes	443725224104	"443,725,224"	443725	444
1	1977	Individual Income Taxes	494508203920	"494,508,204"	494508	495
1	1978	Individual Income Taxes	531939603364	"531,939,603"	531940	532
1	1979	Individual Income Taxes	592483144764	"592,483,145"	592483	592
1	1980	Individual Income Taxes	609990915952	"609,990,916"	609991	610
1	1981	Individual Income Taxes	650509745971	"650,509,746"	650510	651
1	1982	Individual Income Taxes	634046599531	"634,046,600"	634047	634
1	1983	Individual Income Taxes	589389089057	"589,389,089"	589389	589
1	1984	Individual Income Taxes	586960119081	"586,960,119"	586960	587
1	1985	Individual Income Taxes	637341133646	"637,341,134"	637341	637
1	1986	Individual Income Taxes	649794101710	"649,794,102"	649794	650
1	1987	Individual Income Taxes	711947983115	"711,947,983"	711948	712
1	1988	Individual Income Taxes	705000881553	"705,000,882"	705001	705
1	1989	Individual Income Taxes	753959305750	"753,959,306"	753959	754
1	1990	Individual Income Taxes	761792626821	"761,792,627"	761793	762
1	1991	Individual Income Taxes	735407251520	"735,407,252"	735407	735
1	1992	Individual Income Taxes	729212006838	"729,212,007"	729212	729
1	1993	Individual Income Taxes	764065913647	"764,065,914"	764066	764
1	1994	Individual Income Taxes	797247711976	"797,247,712"	797248	797
1	1995	Individual Income Taxes	848538810256	"848,538,810"	848539	849
1	1996	Individual Income Taxes	925809027072	"925,809,027"	925809	926
1	1997	Individual Income Taxes	1021280249824	"1,021,280,250"	1021280	1021
1	1998	Individual Income Taxes	1133074513821	"1,133,074,514"	1133075	1133
1	1999	Individual Income Taxes	1186955240715	"1,186,955,241"	1186955	1187
1	2000	Individual Income Taxes	1329272292683	"1,329,272,293"	1329272	1329
1	2001	Individual Income Taxes	1285673993631	"1,285,673,994"	1285674	1286
1	2002	Individual Income Taxes	1091731017608	"1,091,731,018"	1091731	1092
1	2003	Individual Income Taxes	989308916578	"989,308,917"	989309	989
1	2004	Individual Income Taxes	983446904078	"983,446,904"	983447	983
1	2005	Individual Income Taxes	1091711182800	"1,091,711,183"	1091711	1092
1	2006	Individual Income Taxes	1188682088201	"1,188,682,088"	1188682	1189
1	2007	Individual Income Taxes	1286748011272	"1,286,748,011"	1286748	1287
1	2008	Individual Income Taxes	1238412299458	"1,238,412,299"	1238412	1238
1	2009	Individual Income Taxes	975279311493	"975,279,311"	975279	975
1	2010	Individual Income Taxes	948665344871	"948,665,345"	948665	949
1	2011	Individual Income Taxes	1130056551354	"1,130,056,551"	1130057	1130
1	2012	Individual Income Taxes	1183956924538	"1,183,956,925"	1183957	1184
1	2013	Individual Income Taxes	1359260000000	"1,359,260,000"	1359260	1359
4	1962	Other	17608140159	"17,608,140"	17608	18
4	1963	Other	19399282709	"19,399,283"	19399	19
4	1964	Other	20907781171	"20,907,781"	20908	21
4	1965	Other	25465862311	"25,465,862"	25466	25
4	1966	Other	28577296484	"28,577,296"	28577	29
4	1967	Other	28502304181	"28,502,304"	28502	29
4	1968	Other	30001402480	"30,001,402"	30001	30
4	1969	Other	33131730518	"33,131,731"	33132	33
4	1970	Other	34720450278	"34,720,450"	34720	35
4	1971	Other	35519842493	"35,519,842"	35520	36
4	1972	Other	40505284636	"40,505,285"	40505	41
4	1973	Other	37824156896	"37,824,157"	37824	38
4	1974	Other	41535398117	"41,535,398"	41535	42
4	1975	Other	40917916942	"40,917,917"	40918	41
4	1976	Other	44650281927	"44,650,282"	44650	45
4	1977	Other	43474461285	"43,474,461"	43474	43
4	1978	Other	37340935334	"37,340,935"	37341	37
4	1979	Other	39878608715	"39,878,609"	39879	40
4	1980	Other	47828907132	"47,828,907"	47829	48
4	1981	Other	46814129302	"46,814,129"	46814	47
4	1982	Other	51431174449	"51,431,174"	51431	51
4	1983	Other	44170936142	"44,170,936"	44171	44
4	1984	Other	45282878743	"45,282,879"	45283	45
4	1985	Other	47518718988	"47,518,719"	47519	48
4	1986	Other	50101407070	"50,101,407"	50101	50
4	1987	Other	48866913339	"48,866,913"	48867	49
4	1988	Other	48833397800	"48,833,398"	48833	49
4	1989	Other	54112848942	"54,112,849"	54113	54
4	1990	Other	64396076971	"64,396,077"	64396	64
4	1991	Other	54559522880	"54,559,523"	54560	55
4	1992	Other	58766010377	"58,766,010"	58766	59
4	1993	Other	47934802307	"47,934,802"	47935	48
4	1994	Other	56268289531	"56,268,290"	56268	56
4	1995	Other	62225374359	"62,225,374"	62225	62
4	1996	Other	60243727360	"60,243,727"	60244	60
4	1997	Other	62664490708	"62,664,491"	62664	63
4	1998	Other	77486868293	"77,486,868"	77487	77
4	1999	Other	84632710454	"84,632,710"	84633	85
4	2000	Other	95029691581	"95,029,692"	95030	95
4	2001	Other	85466878981	"85,466,879"	85467	85
4	2002	Other	76817813979	"76,817,814"	76818	77
4	2003	Other	70390969934	"70,390,970"	70391	70
4	2004	Other	69828269076	"69,828,269"	69828	70
4	2005	Other	67711096600	"67,711,097"	67711	68
4	2006	Other	82502262669	"82,502,263"	82502	83
4	2007	Other	81380613940	"81,380,614"	81381	81
4	2008	Other	85217473056	"85,217,473"	85217	85
4	2009	Other	80552273846	"80,552,274"	80552	81
4	2010	Other	122171086621	"122,171,087"	122171	122
4	2011	Other	114112133662	"114,112,134"	114112	114
4	2012	Other	118193393542	"118,193,394"	118193	118
4	2013	Other	114355000000	"114,355,000"	114355	114
2	1962	Payroll Taxes	104971023105	"104,971,023"	104971	105
2	1963	Payroll Taxes	120442066102	"120,442,066"	120442	120
2	1964	Payroll Taxes	132001331125	"132,001,331"	132001	132
2	1965	Payroll Taxes	131397337847	"131,397,338"	131397	131
2	1966	Payroll Taxes	147728713409	"147,728,713"	147729	148
2	1967	Payroll Taxes	182796231082	"182,796,231"	182796	183
2	1968	Payroll Taxes	183638450053	"183,638,450"	183638	184
2	1969	Payroll Taxes	202006114142	"202,006,114"	202006	202
2	1970	Payroll Taxes	217904443776	"217,904,444"	217904	218
2	1971	Payroll Taxes	221378340544	"221,378,341"	221378	221
2	1972	Payroll Taxes	234826609999	"234,826,610"	234827	235
2	1973	Payroll Taxes	270127244087	"270,127,244"	270127	270
2	1974	Payroll Taxes	299725563631	"299,725,564"	299726	300
2	1975	Payroll Taxes	305496768880	"305,496,769"	305497	305
2	1976	Payroll Taxes	306047907322	"306,047,907"	306048	306
2	1977	Payroll Taxes	334066889419	"334,066,889"	334067	334
2	1978	Payroll Taxes	355533491071	"355,533,491"	355533	356
2	1979	Payroll Taxes	377885602549	"377,885,603"	377886	378
2	1980	Payroll Taxes	394390066574	"394,390,067"	394390	394
2	1981	Payroll Taxes	415719222310	"415,719,222"	415719	416
2	1982	Payroll Taxes	429089317810	"429,089,318"	429089	429
2	1983	Payroll Taxes	426316064010	"426,316,064"	426316	426
2	1984	Payroll Taxes	470833699952	"470,833,700"	470834	471
2	1985	Payroll Taxes	505182809462	"505,182,809"	505183	505
2	1986	Payroll Taxes	528649697000	"528,649,697"	528650	529
2	1987	Payroll Taxes	550102818513	"550,102,819"	550103	550
2	1988	Payroll Taxes	587532219534	"587,532,220"	587532	588
2	1989	Payroll Taxes	608012168167	"608,012,168"	608012	608
2	1990	Payroll Taxes	620105198439	"620,105,198"	620105	620
2	1991	Payroll Taxes	622521663860	"622,521,664"	622522	623
2	1992	Payroll Taxes	633802106423	"633,802,106"	633802	634
2	1993	Payroll Taxes	642067846697	"642,067,847"	642068	642
2	1994	Payroll Taxes	677482620678	"677,482,621"	677483	677
2	1995	Payroll Taxes	696481697436	"696,481,697"	696482	696
2	1996	Payroll Taxes	718476333972	"718,476,334"	718476	718
2	1997	Payroll Taxes	746948265585	"746,948,266"	746948	747
2	1998	Payroll Taxes	781967269919	"781,967,270"	781967	782
2	1999	Payroll Taxes	825736100642	"825,736,101"	825736	826
2	2000	Payroll Taxes	863963071597	"863,963,072"	863963	864
2	2001	Payroll Taxes	897294910828	"897,294,911"	897295	897
2	2002	Payroll Taxes	891298286702	"891,298,287"	891298	891
2	2003	Payroll Taxes	888693941563	"888,693,942"	888694	889
2	2004	Payroll Taxes	891598762829	"891,598,763"	891599	892
2	2005	Payroll Taxes	935002775000	"935,002,775"	935003	935
2	2006	Payroll Taxes	954013970406	"954,013,970"	954014	954
2	2007	Payroll Taxes	961746460455	"961,746,460"	961746	962
2	2008	Payroll Taxes	972957401083	"972,957,401"	972957	973
2	2009	Payroll Taxes	949290204344	"949,290,204"	949290	949
2	2010	Payroll Taxes	913048783716	"913,048,784"	913049	913
2	2011	Payroll Taxes	847736282800	"847,736,283"	847736	848
2	2012	Payroll Taxes	854585831463	"854,585,831"	854586	855
2	2013	Payroll Taxes	959057000000	"959,057,000"	959057	959
